country,size,attack_type,attribution,start_of_attack (soa),dwell_time [days],attack_detected (attdet),t2ad_utc_short,soa:t2ad_delta [sec],t2ad:attdet_delta [sec],root_cause,missing_logs,artifacts,lolbins,other,pre-attack_ioc,rdp,initial_access,impact,data_exfil,exfil_volume [GB],date_of_exfil_short,soa-exfil-delta [sec],exfil-attdet-delta [sec],exfil-posted_delta
Chile,251-500,network breach,,2024-04,4,2024-04,,,,brute force attack,,Python|Chrome Browser,RDP|cmd.exe|ipconfig.exe|hostname.exe|PowerShell,MFA unavailable|SSH|suspicious files|malicious scripts,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No,,,,,
Canada,1001-3000,ransomware,Black Basta,2024-04,0,2024-04,2024-04,40393,-4145,brute force attack,,Cobalt Strike|7zip|Impacket/secretsdump|PowerView|Impacket/wmiexec|Chrome Browser|VMware Tools|Python,RDP|PowerShell|cmd.exe|svchost.exe|logoff.exe|ping.exe|Get-Domain|Get-GPO|net.exe|excel.exe|Edge browser|WMI,MFA unavailable|brute force attack|remove protection|password spray|install service|enable RDP|modify firewall rules|suspicious files|disable protection|SMB|unprotected systems|reset passwords|install service|remote encryption|ESXi|unprotected systems,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Account Access Removal,No evidence,,,,,
United States of America,251-500,ransomware,INC,2024-04,7,2024-04,2024-04,281479,337426,comped creds,,Advanced IP Scanner|Chrome Browser|Megasync|7zip|NinjaOne RMM|PERCCLI|NativeDump|mimikatz|Outflank-Dumpert-DLL.dll|KingHamlet|ESET AV Remover|Impacket|AnyConnect|Python,PsExec|RDP|svchost.exe|mstsc.exe|wordpad.exe|Edge browser|taskkill.exe|regsvr32.exe|cmd.exe|mspaint.exe|iexplore.exe|sc.exe|cscript.exe|nltest.exe|nslookup.exe|mmc.exe|gpmc.msc|WMI|gpupdate.exe|net.exe|findstr.exe|control.exe|services.msc|copy.exe|netsh.exe|reg.exe|PowerShell|consent.exe|taskmgr.exe|rundll32.exe|MSASCui.exe|msdt.exe|sdiagnhost.exe|sfc.exe|BITSadmin|notepad.exe|regedit.exe|ping.exe|compmgmt.msc,unprotected systems|MFA unavailable|SAM dump|browse network|create archive|malicious scripts|remove protection|modify domain policies|create scheduled task|stop services|disable protection|SMB|modify firewall rules|modify registry|enable RDP|open firewall ports|lsass dump|alerts disabled|start services|tamper protection removed|delete users|tamper protection not configured|exposed internal services|vulnerable systems,,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact|Service Stop|Account Access Removal,Yes,,2024-04,455926,162980,8
United Kingdom,251-500,ransomware,Faust,2024-04,0,2024-04,2024-04,4494,-439,comped creds,,Process Hacker|IObit Unlocker|mimikatz|SoftPerfect Network Scanner|Advanced IP Scanner|Network Password Recovery|PuTTYgen|Pageant,RDP|findstr.exe|mstsc.exe,exposed RDP|MFA unavailable|disable protection|malicious scripts|install service|modify registry,,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact,No evidence,,,,,
United States of America,1-100,ransomware,Phobos,2024-04,3,2024-04,,,,brute force attack,cleared,AnyDesk|PC Hunter|GMER,RDP|cmd.exe|quser.exe|arp.exe|whoami.exe|net.exe|reg.exe|regsvr32.exe|logoff.exe|PowerShell|ipconfig.exe|notepad.exe|Edge browser|vssadmin.exe|xcopy.exe|helppane.exe|netsh.exe|utilman.exe|magnify.exe|sethc.exe|takeown.exe|sc.exe|wbadmin.exe|WMI|bcdedit.exe|netstat.exe|icacls.exe|shutdown.exe,brute force attack|logs missing|create accounts|modify domain groups|modify registry|create scheduled task|logs cleared|malicious scripts|load at startup|delete registry keys|suspicious files|dump browser creds|stop process|stop services|delete Shadow Copy|modify firewall rules|disable firewall|disable protection|modify access rights|delete backups|remote encryption|delete files|exposed RDP,,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery|System Shutdown/Reboot|Service Stop|Data Manipulation,No evidence,,,,,
United States of America,1-100,network breach,,2024-04,0,2024-04,2024-04,0,17914,brute force attack,,FileZilla,RDP|PsExec|services.exe|nltest.exe,MFA unavailable|brute force attack|install service,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No,,,,,
United Kingdom,1-100,ransomware,LockBit,2024-04,1,2024-04,2024-04,81872,41732,comped creds,cleared,Rclone|Ngrok|SoftPerfect Network Scanner|NanoDump,RDP|cmd.exe|tasklist.exe|rundll32.exe|comsvcs.dll|copy.exe|PowerShell|PsExec|Task Scheduler|svchost.exe|WMI,create scheduled task|MFA unavailable|Mega (all TLDs)|logs missing|lsass dump|create accounts|logs cleared|modify registry|disable protection|install service|modify local groups|enable remote registry|add exclusions,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,97.37,2024-04,97289,26315,
Germany,501-1000,network breach,,2024-04,0,2024-04,,,,exploit vulnerability,,Rubeus|WinPEAS|SharpHound|SharpView|SharpSpray|SharpZeroLogon|SoftPerfect Network Scanner|Cobalt Strike,RDP|mstsc.exe|Edge browser|notepad.exe|cmd.exe|PowerShell|rundll32.exe|nltest.exe|net.exe|taskmgr.exe|whoami.exe|hostname.exe|cmdkey.exe|findstr.exe|wordpad.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|malicious scripts|suspicious files|abuse domain trust,,Yes - Internal only,Exploit Public-Facing Application,No Impact,No,,,,,
Malaysia,101-250,data exfiltration,Unknown,2024-04,3,2024-04,2024-04,234178,369,comped creds,,Chrome Browser|AnyDesk|WinRAR|Cisco Webex Meetings Desktop Application|PuTTy|FolderSizes|Dell Storage Manager|FileZilla|HP EWS Proxy|Avast Browser|Trillian,RDP|PsExec|cacls.exe|systeminfo.exe|PowerShell|efsui.exe|net.exe|ntdsutil.exe|hostname.exe|ping.exe|quser.exe|notepad.exe|mstsc.exe|WMI|iexplore.exe|mspaint.exe|where.exe|rundll32.exe|Task Scheduler|mmc.exe|runonce.exe|msiexec.exe|robocopy.exe|fondue.exe|tasklist.exe|findstr.exe|netstat.exe|curl.exe|reg.exe,create scheduled task|MFA unavailable|vulnerable systems|unprotected systems|install service|vulnerable signed driver|Dell BIOS vuln driver|disable protection|delete files|NTDS dump|create archive|system hive collected|security hive collected,,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation,Possible,,,,,
Germany,251-500,ransomware,CryTOX,2024-04,8,2024-04,2024-04,687348,15404,exploit vulnerability,encrypted|cleared,PowerTool|mimikatz|LaZagne|GMER,RDP|PsExec|cmd.exe|PowerShell|reg.exe,ProxyLogon|ProxyShell|unprotected systems|web shell|exposed internal services|logs missing|modify registry|disable protection|install service|malicious scripts|create accounts|modify local groups|logs cleared|brute force attack|wdigest enabled,,Yes - Internal only,Exploit Public-Facing Application,Data Encrypted for Impact,No evidence,,,,,
United States of America,1-100,network breach,,2024-04,0,2024-04,2024-04,28275,52668,brute force attack,,Impacket/secretsdump|Python,RDP|svchost.exe,CVE-2024-21762|SAM dump|MFA unavailable|brute force attack,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No,,,,,
United States of America,501-1000,network breach,,2024-04,0,2024-04,,,,brute force attack,,Splashtop|Atera RMM,RDP|cmd.exe|msiexec.exe|reg.exe|taskmgr.exe,CVE-2024-3400|brute force attack|MFA unavailable|modify registry,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No,,,,,
United States of America,501-1000,ransomware,LockBit,2024-04,1,2024-04,,,,exploit vulnerability,,SoftPerfect Network Scanner,ping.exe|mstsc.exe|hostname.exe|RDP|ipconfig.exe|nslookup.exe|PsExec|rdpinput.exe,CVE-2024-3400|unprotected systems|remote encryption|kali (hostname),,Yes - Internal only,External Remote Services,Data Encrypted for Impact,,,,,,
United States of America,5000+,data exfiltration,INC,2024-04,4,2024-04,2024-04,333795,1516,brute force attack,,7zip|Megasync|Advanced IP Scanner|AnyDesk,RDP|mstsc.exe|control.exe|mmc.exe|cmd.exe|WMI|WmiPrvSE.exe|gpupdate.exe|PowerShell|sc.exe|netsh.exe|net.exe|nslookup.exe|sdelete.exe|notepad.exe|PsExec|PsKill,MFA unavailable|brute force attack|unprotected systems|password spray|delete files|modify domain policies|modify domain groups|create scheduled task|exposed internal services|malicious scripts|disable protection|stop services|modify registry|enable RDP|modify firewall rules|install service|EDR killer|reset passwords|delete accounts|create archive,,Yes - Internal only,External Remote Services|Valid Accounts,Service Stop|Data Manipulation|Account Access Removal|Data Destruction,Yes,,2024-04,71419,263893,
United States of America,5000+,data exfiltration,Unknown,2024-04,0,2024-04,2024-04,3713,4432,brute force attack,unavailable,,RDP|PsExec|Edge browser|cmd.exe|vssadmin.exe|WMI|nltest.exe|ipconfig.exe|logoff.exe,logs missing|install service|create shadow copy|NTDS dump|SAM dump|security hive collected|system hive collected|MFA unavailable,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,Yes,,,,,
United States of America,101-250,network breach,,2024-04,6,2024-04,2024-04,541010,414,brute force attack,,Impacket/atexec|Python,RDP|cmd.exe|ipconfig.exe|echo.exe|type.exe,CVE-2024-3400|create scheduled task|exploit attempts|Palo Alto PAN-OS vuln|MFA unavailable,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No,,,,,
Italy,1001-3000,ransomware,Black Suit,2024-04,15,2024-05,2024-04,0,264123,comped creds,,Chrome Browser|Cobalt Strike|SoftPerfect Network Scanner|PuTTy|WinRAR|AnyDesk|Splashtop|WinSCP,RDP|PowerShell|Edge browser|iexplore.exe|mstsc.exe|DCSync|PsExec|cmd.exe|copy.exe|vssadmin.exe|rundll32.exe|ping.exe|control.exe|taskmgr.exe,remove protection|install service|remote encryption|kerberoast|create archive|lsass dump|delete Shadow Copy|SSH|delete files|unprotected systems,,Yes - Internal only,External Remote Services|Valid Accounts,Inhibit System Recovery|Data Manipulation,Possible,,,,,
Australia,101-250,network breach,,2024-04,2,2024-04,2024-04,164365,14044,brute force attack,,AnyDesk|Veeam mgmt software|mimikatz|SoftPerfect Network Scanner|Impacket/secretsdump|NanoDump|Advanced IP Scanner|Python,RDP|PowerShell|ProcDump|ipconfig.exe|quser.exe|WMI|cmd.exe|svchost.exe|DCSync|mmc.exe|dsa.msc|gpmc.msc|taskmgr.exe|msdtc.exe|notepad.exe|virtmgmt.msc,unprotected systems|disable protection|lsass dump|Veeam pw dump|SAM dump|modify domain groups|ESXi|Veeam vulnerability|CVE-2023-27532,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
Italy,251-500,data exfiltration,,2024-04,8,2024-04,2024-04,684620,21498,exploit vulnerability,,Advanced IP Scanner|WinRAR|FileZilla,RDP|PowerShell|cmd.exe|nltest.exe|net.exe|notepad.exe|mmc.exe|ping.exe|mstsc.exe,Palo Alto PAN-OS vuln|CVE-2024-3400|MFA unavailable|malicious scripts|create archive,,Yes - Internal only,Exploit Public-Facing Application|External Remote Services,No Impact,Yes,,2024-04,694407,11710,
United States of America,101-250,ransomware,LockBit,2024-04,8,2024-04,2024-04,622189,105100,exploit vulnerability,unavailable|cleared,Rclone|SoftPerfect Network Scanner|AnyDesk|CloudFlared|Chrome Browser|RemotePC|ScreenConnect|curl|wget,RDP|PowerShell|whoami.exe|cmd.exe|mstsc.exe,Palo Alto PAN-OS vuln|CVE-2024-3400|SSH|logs missing|disable protection|logs cleared|install service|browse network|add exclusions|MFA unavailable|modify firewall rules|create archive|backdoor,,Yes - Internal only,Exploit Public-Facing Application,Data Encrypted for Impact,Yes,,2024-04,725706,1584,6
United States of America,251-500,ransomware,LockBit,2024-04,9,2024-04,2024-04,834808,1711,brute force attack,,AnyDesk|SoftPerfect Network Scanner|Chrome Browser|Rclone|Symprex Email Signature Manager|PuTTy,RDP|cmd.exe|sc.exe|start.exe|notepad.exe|PowerShell|msiexec.exe|mstsc.exe|reg.exe|ping.exe|query.exe|net.exe|ipconfig.exe,unprotected systems|install service|Mega (all TLDs)|modify registry|disable UNC check|ESXi,brute force attack,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,,2024-04,836608,-89,5
United States of America,101-250,network breach,,2024-04,0,2024-04,,,,exploit vulnerability,,,RDP|nltest.exe|net.exe|mstsc.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966,,Yes - Internal only,Exploit Public-Facing Application,No Impact,,,,,,
India,101-250,ransomware,Makop,2024-04,3,2024-04,,,,brute force attack,,SoftPerfect Network Scanner|Everything,RDP,exposed RDP|MFA unavailable|unprotected systems|iplogger.com|malicious scripts|music folder,,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact,,,,,,
Canada,501-1000,data exfiltration,Unknown,2024-04,7,2024-05,2024-04,0,607732,exploit vulnerability,unavailable,mimikatz|Python|Keyscan Aurora|7zip|Advanced IP Scanner|PuTTy|Impacket/smbexec|Firefox Browser,RDP|DCSync|svchost.exe|wsmprovhost.exe|PowerShell|qwinsta.exe|ping.exe|net.exe|nltest.exe|cmd.exe|winrm.exe|systeminfo.exe|tasklist.exe|Task Scheduler|taskeng.exe|mstsc.exe|WMI|sqlcmd.exe|vssadmin.exe,logs missing|unprotected systems|vulnerable systems|MFA unavailable|kerberoast|install service|delete files|SMB|delete task|create scheduled task|browse network|enumerate database server|create shadow copy|create archive,,Yes - Internal only,Exploit Public-Facing Application|External Remote Services,Data Manipulation,Staging,,,,,
Australia,1-100,ransomware,Beast,2024-04,17,2024-04,2024-04,273140,1197580,comped creds,unavailable|re-imaged,Cobalt Strike|Impacket/atexec|7zip|ScreenConnect|Python,RDP|cmd.exe|cscript.exe|rundll32.exe|echo.exe|del.exe|PowerShell|tasklist.exe|svchost.exe|net.exe|quser.exe|systeminfo.exe|netstat.exe|nltest.exe|Get-ChildItem|Get-Process|findstr.exe|vssadmin.exe|WMI|Task Scheduler|PsExec|PsKill|Remote Desktop Gateway,exposed RDP|create scheduled task|logs missing|NTDS dump|create archive|ESXi|encrypt hypervisor|malicious scripts|AMSI bypass|enable remote registry|create accounts|modify local groups|delete files|system hive collected|security hive collected|disable protection|SSH|linux ransomware,,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation,No evidence,,,,,
Germany,1001-3000,network breach,,2024-05,0,2024-05,2024-05,5812,1112,exploit vulnerability,,Chrome Browser|PuTTy|SharpShares,RDP|cmd.exe|pushd.exe|ipconfig.exe|notepad.exe|nslookup.exe|whoami.exe|netstat.exe|icacls.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|browse network|unprotected systems,,Yes - Internal only,Exploit Public-Facing Application,No Impact,No,,,,,
United States of America,101-250,data exfiltration,Gootloader,2024-05,0,2024-05,,,,phishing,unavailable,SharpHound|Rubeus,RDP|WMI|PowerShell|winrm.exe|wsmprovhost.exe|svchost.exe|PsExec,unprotected systems|install service|logs missing|disable protection|bashupload.com|station307.com|lsass dump,,Yes - Internal only,Phishing|Valid Accounts,No Impact,Yes,,2024-05,9839,3750,
United States of America,101-250,data exfiltration,Unknown,2024-05,1,2024-05,2024-05,76409,22367,comped creds,,Veeam mgmt software|WinRAR|WinSCP|Impacket|Python,RDP|mmc.exe|gpedit.msc|PowerShell|hostname.exe|gpscript.exe|cmd.exe|ping.exe|mstsc.exe|reg.exe|WMI|mpcmdrun.exe|Task Scheduler|PsExec,MFA unavailable|unprotected systems|remote encryption|modify registry|enable RDP|FTP|delete Shadow Copy|disable protection|delete task|install service|add exclusions|stop services|disable firewall|create archive|delete files,,Yes - Internal only,External Remote Services|Valid Accounts,Service Stop|Inhibit System Recovery|Data Manipulation,Possible,,2024-05,,,
United States of America,251-500,ransomware,Play,2024-04,20,2024-05,,,,comped creds,,WinSCP|WinRAR,RDP|PowerShell|mmc.exe|Task Scheduler|ServerManager.exe|notepad.exe|Edge browser|ping.exe|mspaint.exe|iexplore.exe|cmd.exe|reg.exe|mpcmdrun.exe|WMI|wsmprovhost.exe|PsExec,MFA unavailable|unprotected systems|remote encryption|create archive|browse network|uninstall application|delete files|malicious scripts|enable RDP|modify registry|disable protection|delete Shadow Copy|install service|create scheduled task|music folder,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation|Inhibit System Recovery,Possible,,2024-05,,,
United States of America,1001-3000,ransomware,Black Basta,2024-05,1,2024-05,2024-05,335825,-254814,brute force attack,unavailable,PuTTy|7zip|Cobalt Strike|Chrome Browser,RDP|cmd.exe|runonce.exe|mspaint.exe|notepad.exe|taskmgr.exe|Edge browser|mmc.exe|services.msc|compmgmt.msc|eventvwr.msc|PowerShell|svchost.exe|net.exe|gpmc.msc|mstsc.exe|reg.exe|netsh.exe|WmiPrvSE.exe|WMI|rundll32.exe|BITSadmin,MFA unavailable|unprotected systems|vulnerable systems|ESXi|logs missing|exposed RDP|malicious scripts|SSH|browse network|install service|disable protection|SAM dump|Veeam pw dump|create security group|modify domain groups|enable RDP|disable NLA|modify firewall rules|open firewall ports|start services|pass the hash|remove protection|eol systems,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,,,,,
United States of America,101-250,ransomware,Qilin,2024-05,1,2024-05,2024-05,68362,17470,comped creds,cleared,FileZilla|Rclone|EDRSandblast|Angry IP Scanner|Cobalt Strike|LaZagne|PowerTool|PC Hunter,RDP|ntdsutil.exe|PowerShell|Task Scheduler|ping.exe|rundll32.exe|cmd.exe|WMI|query.exe|dism.exe|sc.exe|dcdiag.exe|gpupdate.exe|ipconfig.exe|dsquery.exe|nslookup.exe|vssadmin.exe|netdom.exe|gpedit.msc,create scheduled task|NTDS dump|create archive|SSH|disable protection|vulnerable signed driver|logs missing|logs cleared|browse network|SMB|timestomping|MFA unavailable,install service|TeamViewer|EDRSandblast|vulnerable signed driver|RDP|SMB,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,4.41,2024-05,63924,21909,44
Australia,1-100,network breach,,2024-05,1,2024-05,2024-05,79853,671,brute force attack,,Impacket/atexec|Advanced IP Scanner|PuTTy|Chrome Browser|Python,RDP|cmd.exe|dnscmd.exe|mmc.exe|dnsmgmt.msc|logoff.exe,Fortinet vuln|CVE-2024-21762|brute force attack|malicious scripts|MFA unavailable|create scheduled task|delete files,,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation,Possible,,,,,
United States of America,1001-3000,data exfiltration,Unknown,2024-05,1,2024-05,2024-05,0,80820,exploit vulnerability,,SoftPerfect Network Scanner|FileZilla|WinSCP|Atera RMM,RDP|ServerManager.exe|fsquirt.exe|cmd.exe|whoami.exe|net.exe|ntdsutil.exe|svchost.exe|mmc.exe|dnsmgmt.msc|logoff.exe|dsa.msc|ping.exe|ipconfig.exe|unregmp2.exe|regsvr32.exe|notepad.exe|wordpad.exe|mstsc.exe|msiexec.exe|taskkill.exe|sc.exe|services.msc|eventvwr.msc|ntdsutil.exe,brute force attack|SMB|NTDS dump|security hive collected|system hive collected|modify access rights|delete files|delete accounts|suspicious files|malicious scripts|disable protection|stop services|reset passwords|modify domain groups,,Yes - Internal only,External Remote Services|Valid Accounts,Service Stop|Data Manipulation|Account Access Removal,Yes,,,,,
United States of America,501-1000,network breach,,2024-05,3,2024-05,2024-05,0,245110,comped creds,not configured,,RDP|winrm.exe|PowerShell|wsmprovhost.exe|quser.exe|net.exe|hostname.exe|ping.exe|nslookup.exe,logs missing|MFA unavailable|NTDS dump|pass the hash|exposed internal services,,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,,,,,,
Japan,101-250,ransomware,Faust,2024-03,55,2024-05,2024-05,-1253904,6000885,comped creds,cleared,SoftPerfect Network Scanner|AnyDesk|Process Hacker,RDP|PsExec|reg.exe|cmd.exe|xcopy.exe|vssadmin.exe|bcdedit.exe|Task Scheduler|PowerShell|WMI|takeown.exe|netsh.exe|taskkill.exe|mstsc.exe|nslookup.exe|net.exe|sc.exe|msconfig.exe,exposed RDP|create scheduled task|malicious scripts|modify registry|accessibility tools|delete Shadow Copy|disable safe mode|reboot in Safe Mode|create accounts|modify local groups|logs missing|logs cleared|delete files|disable firewall|browse network|install service|brute force attack|MFA unavailable,install feature|AnyDesk|RDP,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery|System Shutdown/Reboot|Data Manipulation,No evidence,,,,,
Germany,101-250,network breach,,2021-08,988,2024-05,,,,exploit vulnerability,cleared,,RDP,ProxyShell|CVE-2021-31207|CVE-2021-34473|CVE-2021-34523|web shell|exposed internal services|New-MailboxExportRequest|logs cleared|logs missing,,Yes - Internal only,Exploit Public-Facing Application,No Impact,No,,,,,
United Kingdom,1-100,ransomware,LockBit,2024-04,31,2024-05,2024-05,2562912,77150,comped creds,unavailable,Metasploit|EDRSandblast|SoftPerfect Network Scanner|PuTTYgen|PuTTy,RDP|net.exe|PsExec|ping.exe|PowerShell|notepad.exe,MFA unavailable|brute force attack|logs missing|reset passwords|vulnerable signed driver|encrypt hypervisor|lsass dump|browse network|install service,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Account Access Removal,Yes,,,,,
Panama,251-500,network breach,,2024-05,0,2024-05,,,,unknown,,,dllhost.exe|rundll32.exe|RDP|comsvcs.dll,lsass dump,,Yes - Internal only,unknown,No Impact,,,,,,
Germany,101-250,ransomware,Reload,2024-05,0,2024-05,2024-05,55569,682,brute force attack,,Advanced Port Scanner|AccountRestore|SoftPerfect Network Scanner,RDP,brute force attack|SMB|unprotected systems|MFA unavailable|create accounts,,Yes - Internal only,Exploit Public-Facing Application|Valid Accounts,Data Encrypted for Impact,No evidence,,,,,
United States of America,1001-3000,network breach,,2024-05,0,2024-05,2024-05,6,-21096,comped creds,,GoToResolve|ScreenConnect|SoftPerfect Network Scanner,PowerShell|winget.exe|cmd.exe|net.exe|nltest.exe|quser.exe|wshost.exe|route.exe|ping.exe|rundll32.exe|RDP|mstsc.exe|notepad.exe,MFA unavailable|install service|uninstall application|browse network|delete files,,Yes - Internal only,Valid Accounts,Data Manipulation,,,,,,
United States of America,101-250,network breach,,2024-05,2,2024-05,,,,comped creds,unavailable|cleared,AnyDesk|DWService|PingCastle,RDP|quser.exe|klist.exe|notepad.exe|Task Scheduler|net.exe|nltest.exe|PowerShell,create scheduled task|MFA unavailable|browse network|create archive|logs missing|disable protection|logs cleared|install service|unknown cred dump tool,malicious scripts|delete files,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,Unknown,,,,,
United Kingdom,501-1000,network breach,,2024-05,1,2024-05,,,,comped creds,,Cobalt Strike|7zip,RDP|Remote Desktop Gateway|cmd.exe|net.exe|nltest.exe|ping.exe|type.exe|del.exe|tasklist.exe|query.exe|taskkill.exe|mstsc.exe|PowerShell|rundll32.exe,exposed RDP|MFA unavailable|brute force attack|delete files|SAM dump|install service|browse network,Task Scheduler|Lemon Duck|ScreenConnect|PowerShell|AnyDesk,Yes - Both,External Remote Services|Valid Accounts,Data Manipulation,No evidence,,,,,
Singapore,1-100,ransomware,Mimic,2024-04,30,2024-05,,,,brute force attack,unavailable,Ngrok|IObit Unlocker|GMER|SophosZap|WinRAR|PEview|Wise Force Deleter|Soft Organizer|TeamViewer|Defender Control|Advanced IP Scanner|PowerTool|Process Hacker|Revo Uninstaller|Sophos Removal Tool|File Shredder|System Informer|XL Delete|Resource Hacker|SharpDump|UnLock IT|LockHunter,PowerShell|xp_cmdshell|net.exe|cmd.exe|reg.exe|echo.exe|WMI|Process Explorer|Process Monitor|Task Scheduler|bcdedit.exe|mstsc.exe,exposed internal services|brute force attack|create accounts|disable protection|create archive|logs missing|tamper protection removed|modify local groups|modify registry|malicious scripts|backdoor|browse network|whoer.net|delete task|install service|what's my IP search,,Yes - Both,Exploit Public-Facing Application|Valid Accounts,Data Encrypted for Impact,Unknown,,,,,
United States of America,101-250,network breach,,2024-04,44,2024-05,2023-03,-33586805,,comped creds,unavailable,mimikatz,RDP,MFA unavailable|logs missing|add mailbox rules|lsass dump,RDP|lsass dump|mimikatz,Yes - Internal only,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
United States of America,1-100,network breach,,2024-05,0,2024-05,2024-05,0,-19140,comped creds,unavailable,Sliver|Impacket/atexec|Python,RDP|DCSync|cmd.exe|query.exe|ipconfig.exe|netstat.exe|quser.exe|sc.exe|PowerShell|route.exe|whoami.exe|ping.exe|tasklist.exe,MFA unavailable|vulnerable systems|logs missing|unprotected systems|create scheduled task|SMB|malicious scripts|install service|delete files,,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation,,,,,,
Japan,101-250,ransomware,RansomHub,2024-05,3,2024-05,,,,exploit vulnerability,,,xp_cmdshell|cmd.exe|net.exe|PowerShell|notepad.exe|RDP,MFA unavailable|Veeam vulnerability|CVE-2023-27532|SMB|create accounts|modify local groups|malicious scripts|remove protection|install service|browse network|vulnerable systems,,Yes - Internal only,Exploit Public-Facing Application,No Impact,,,,,,
United Kingdom,101-250,ransomware,Akira,2024-05,13,2024-05,2024-05,1463965,,comped creds,unavailable,Advanced Port Scanner|Angry IP Scanner,RDP|xp_cmdshell|ping.exe|sqlcmd.exe,MFA unavailable|create accounts|logs missing|ESXi|encrypt hypervisor|unprotected systems|Veeam pw dump|kali (hostname),RDP,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,,,,,
United States of America,101-250,network breach,,2024-05,1,2024-05,,,,exploit vulnerability,,Meterpreter,PowerShell|whoami.exe|net.exe|cmd.exe|tasklist.exe|ipconfig.exe|netstat.exe|rundll32.exe|findstr.exe|RDP,Telerik.Web.UI vuln|CVE-2017-9248|web shell|create accounts|modify local groups|lsass dump,suspicious files|disable protection|RDP|nmap,Yes - Internal only,Exploit Public-Facing Application,No Impact,No evidence,,,,,
United States of America,1-100,network breach,,2024-05,13,2024-05,2024-05,0,,comped creds,retention,mimikatz|AnyDesk|Metasploit,cmd.exe|PowerShell|net.exe|WMI|nltest.exe|tasklist.exe|icacls.exe|netsh.exe|netdom.exe|notepad.exe|echo.exe|mmc.exe|dnsmgmt.msc|taskmgr.exe|WmiPrvSE.exe,exposed internal services|SMB|MFA unavailable|logs missing|disable protection|modify firewall rules|reset passwords|install service|malicious scripts|AMSI bypass|enable RDP|modify registry,cmd.exe|PowerShell|Impacket|WMI|tasklist.exe|disable protection|mimikatz|suspicious files|malicious scripts|create accounts|modify local groups|netsh.exe|modify firewall rules|delete files|del.exe|Python,No,Valid Accounts,Account Access Removal,No evidence,,,,,
Germany,1001-3000,ransomware,Black Basta,2024-05,3,2024-05,2024-05,159748,130365,comped creds,unavailable,PuTTy|Chrome Browser,mmc.exe|RDP|gpupdate.exe|taskmgr.exe|ServerManager.exe|rundll32.exe|cmd.exe|notepad.exe,SMB|ESXi|suspicious files|modify domain policies|disable protection|enable RDP|remote encryption|MFA unavailable|logs missing|unprotected systems,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,,,,,
United States of America,501-1000,ransomware,Qilin,2024-05,1,2024-05,2024-05,97317,-25360,comped creds,cleared,Impacket/wmiexec|Python,RDP|excel.exe|net.exe|notepad.exe|cmd.exe|ping.exe|MSASCui.exe|PowerShell|taskmgr.exe|svchost.exe|rundll32.exe|fsutil.exe|WMI|vssadmin.exe|PsExec|ipconfig.exe,modify firewall rules|logs cleared|delete email|install service|remote encryption|disable protection|modify domain policies|modify av policies|delete Shadow Copy|stop services|create accounts|reset passwords|modify domain groups|unprotected systems|delete files|logs missing,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery|Service Stop|Data Manipulation|Account Access Removal,No evidence,,,,,
